team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over,Team,Opponent,is_winner,is_toss_winner,team_role,toss_advantage,high_pressure_match
Kolkata Knight Riders,Delhi Capitals,2010-04-07,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Eden Gardens,Kolkata,"SC Ganguly, CH Gayle, BB McCullum, MK Tiwary, AD Mathews, CA Pujara, WP Saha, AB Agarkar, Iqbal Abdulla, AB Dinda, BAW Mendis","DA Warner, V Sehwag, G Gambhir, PD Collingwood, KD Karthik, KM Jadhav, MF Maharoof, R Bhatia, DL Vettori, A Mishra, PJ Sangwan",2010,39,League,runs,14.0,182.0,20.0,N,Delhi Capitals,Kolkata Knight Riders,0,0,Chasing,0,0
Royal Challengers Bengaluru,Deccan Chargers,2010-04-08,Deccan Chargers,field,Deccan Chargers,TL Suman,M Chinnaswamy Stadium,Bangalore,"MK Pandey, JH Kallis, R Dravid, RV Uthappa, LRPL Taylor, V Kohli, CL White, P Kumar, R Vinay Kumar, A Kumble, DW Steyn","AC Gilchrist, MD Mishra, TL Suman, RG Sharma, A Symonds, Y Venugopal Rao, MR Marsh, RP Singh, PP Ojha, RJ Harris, Harmeet Singh",2010,40,League,wickets,7.0,185.0,20.0,N,Deccan Chargers,Royal Challengers Bengaluru,1,1,Chasing,1,1
Punjab Kings,Mumbai Indians,2010-04-09,Mumbai Indians,bat,Punjab Kings,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AB Barath, DPMD Jayawardene, KC Sangakkara, Yuvraj Singh, IK Pathan, RS Sodhi, K Goel, PP Chawla, RR Powar, B Lee, L Ablish","S Dhawan, SR Tendulkar, AT Rayudu, SS Tiwary, JP Duminy, R Sathish, KA Pollard, Harbhajan Singh, R McLaren, Z Khan, SL Malinga",2010,41,League,wickets,6.0,155.0,20.0,N,Mumbai Indians,Punjab Kings,0,1,Defending,0,0
Deccan Chargers,Chennai Super Kings,2010-04-10,Chennai Super Kings,bat,Deccan Chargers,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"MD Mishra, AC Gilchrist, TL Suman, RG Sharma, A Symonds, DR Smith, B Sumanth, RP Singh, PP Ojha, RJ Harris, Harmeet Singh","M Vijay, ML Hayden, SK Raina, MS Dhoni, MEK Hussey, S Badrinath, R Ashwin, T Thushara, SB Jakati, DE Bollinger, S Tyagi",2010,42,League,wickets,6.0,139.0,20.0,N,Chennai Super Kings,Deccan Chargers,0,1,Defending,0,0
Royal Challengers Bengaluru,Kolkata Knight Riders,2010-04-10,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,R Vinay Kumar,M Chinnaswamy Stadium,Bangalore,"S Sriram, JH Kallis, R Dravid, RV Uthappa, LRPL Taylor, CL White, V Kohli, R Vinay Kumar, P Kumar, A Kumble, DW Steyn","SC Ganguly, CH Gayle, BB McCullum, MK Tiwary, AD Mathews, WP Saha, CA Pujara, AB Agarkar, AB Dinda, I Sharma, BAW Mendis",2010,43,League,wickets,7.0,161.0,20.0,N,Kolkata Knight Riders,Royal Challengers Bengaluru,0,0,Defending,0,0
Delhi Capitals,Punjab Kings,2010-04-11,Delhi Capitals,bat,Punjab Kings,PP Chawla,Feroz Shah Kotla,Delhi,"DA Warner, V Sehwag, G Gambhir, PD Collingwood, KD Karthik, DL Vettori, M Manhas, R Bhatia, MF Maharoof, A Mishra, A Nehra","DPMD Jayawardene, IK Pathan, KC Sangakkara, Yuvraj Singh, AB Barath, J Theron, K Goel, RS Sodhi, PP Chawla, RR Powar, L Ablish",2010,44,League,wickets,7.0,112.0,20.0,N,Punjab Kings,Delhi Capitals,1,0,Chasing,0,1
Rajasthan Royals,Mumbai Indians,2010-04-11,Rajasthan Royals,field,Mumbai Indians,SR Tendulkar,Sawai Mansingh Stadium,Jaipur,"MJ Lumb, NV Ojha, FY Fazal, SR Watson, AA Jhunjhunwala, AC Voges, YK Pathan, AS Raut, AP Dole, SK Warne, SK Trivedi","ST Jayasuriya, SR Tendulkar, AT Rayudu, SS Tiwary, JP Duminy, KA Pollard, R Sathish, DS Kulkarni, Harbhajan Singh, SL Malinga, Z Khan",2010,45,League,runs,37.0,175.0,20.0,N,Mumbai Indians,Rajasthan Royals,1,0,Defending,0,0
Deccan Chargers,Royal Challengers Bengaluru,2010-04-12,Royal Challengers Bengaluru,field,Deccan Chargers,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"HH Gibbs, AC Gilchrist, TL Suman, RG Sharma, MD Mishra, A Symonds, RJ Harris, B Sumanth, RP Singh, PP Ojha, Harmeet Singh","MK Pandey, JH Kallis, R Dravid, RV Uthappa, LRPL Taylor, V Kohli, CL White, R Vinay Kumar, DW Steyn, A Kumble, KP Appanna",2010,46,League,runs,13.0,152.0,20.0,N,Royal Challengers Bengaluru,Deccan Chargers,0,1,Chasing,0,0
Chennai Super Kings,Kolkata Knight Riders,2010-04-13,Kolkata Knight Riders,bat,Chennai Super Kings,R Ashwin,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, SK Raina, S Anirudha, MS Dhoni, S Badrinath, JA Morkel, R Ashwin, SB Jakati, M Muralitharan, DE Bollinger","SC Ganguly, CH Gayle, BB McCullum, MK Tiwary, DJ Hussey, AD Mathews, WP Saha, LR Shukla, AB Agarkar, Iqbal Abdulla, AB Dinda",2010,47,League,runs,39.0,184.0,20.0,N,Kolkata Knight Riders,Chennai Super Kings,0,1,Defending,0,0
Mumbai Indians,Delhi Capitals,2010-04-13,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Brabourne Stadium,Mumbai,"C Madan, SR Tendulkar, SS Tiwary, AT Rayudu, JP Duminy, KA Pollard, DJ Bravo, Harbhajan Singh, AG Murtaza, Z Khan, CRD Fernando","DA Warner, V Sehwag, G Gambhir, KD Karthik, AB de Villiers, PD Collingwood, AB McDonald, A Mishra, PJ Sangwan, A Nehra, S Ladda",2010,48,League,wickets,9.0,140.0,20.0,N,Delhi Capitals,Mumbai Indians,0,0,Chasing,0,0
